<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20040211,000000,0.35286,0.36507,0.35254,0.36398,407041232,0
AAPL.US,D,20040212,000000,0.36206,0.36664,0.36086,0.36301,214867382,0
AAPL.US,D,20040213,000000,0.36478,0.3685,0.34892,0.35169,369012138,0
AAPL.US,D,20040217,000000,0.35316,0.35901,0.35316,0.35413,199646393,0
AAPL.US,D,20040218,000000,0.3545,0.35843,0.35254,0.35569,165392923,0
AAPL.US,D,20040219,000000,0.35627,0.3615,0.34277,0.34335,377307698,0
AAPL.US,D,20040220,000000,0.34401,0.34435,0.33978,0.34246,324192734,0
AAPL.US,D,20040223,000000,0.34305,0.34335,0.33491,0.33948,226654978,0
AAPL.US,D,20040224,000000,0.33854,0.3477,0.33639,0.34187,302518719,0
AAPL.US,D,20040225,000000,0.33978,0.35017,0.33978,0.34861,322675078,0
AAPL.US,D,20040226,000000,0.34922,0.3545,0.34861,0.35222,231708924,0
AAPL.US,D,20040227,000000,0.35112,0.36732,0.35079,0.36569,547560751,0
AAPL.US,D,20040301,000000,0.36824,0.37159,0.36507,0.36732,376261375,0
AAPL.US,D,20040302,000000,0.36638,0.3685,0.36331,0.36398,299769357,0
AAPL.US,D,20040303,000000,0.36086,0.37,0.36086,0.36569,262916497,0
AAPL.US,D,20040304,000000,0.36638,0.38561,0.36569,0.38466,771037008,0
AAPL.US,D,20040305,000000,0.38138,0.42024,0.38075,0.40893,1799182627,0
AAPL.US,D,20040308,000000,0.40951,0.40951,0.39453,0.39749,610629968,0
AAPL.US,D,20040309,000000,0.39604,0.41647,0.39394,0.41447,722154686,0
AAPL.US,D,20040310,000000,0.41251,0.43024,0.4119,0.42312,1175981685,0
AAPL.US,D,20040311,000000,0.41677,0.42866,0.41414,0.41507,696111171,0
AAPL.US,D,20040312,000000,0.41766,0.42478,0.41561,0.42145,384482868,0
AAPL.US,D,20040315,000000,0.4135,0.41836,0.40157,0.40428,562571073,0
AAPL.US,D,20040316,000000,0.40609,0.40669,0.38844,0.39486,703645361,0
AAPL.US,D,20040317,000000,0.39694,0.40337,0.3942,0.40054,480485617,0
AAPL.US,D,20040318,000000,0.39662,0.39846,0.39108,0.3926,374968831,0
AAPL.US,D,20040319,000000,0.39298,0.4119,0.3905,0.39546,477153808,0
AAPL.US,D,20040322,000000,0.38815,0.40025,0.38596,0.39546,489363657,0
AAPL.US,D,20040323,000000,0.39635,0.39749,0.38561,0.38661,450221170,0
AAPL.US,D,20040324,000000,0.38685,0.39394,0.38628,0.3899,498452148,0
AAPL.US,D,20040325,000000,0.39912,0.41157,0.39604,0.41098,661522095,0
AAPL.US,D,20040326,000000,0.41157,0.41836,0.41157,0.4135,490315366,0
AAPL.US,D,20040329,000000,0.41898,0.42785,0.4159,0.42701,393296289,0
AAPL.US,D,20040330,000000,0.42604,0.42727,0.41804,0.42701,419974439,0
AAPL.US,D,20040331,000000,0.42604,0.42785,0.4119,0.4135,453951476,0
AAPL.US,D,20040401,000000,0.41128,0.41677,0.40699,0.41447,364189584,0
AAPL.US,D,20040402,000000,0.4241,0.42701,0.41647,0.42056,318793052,0
AAPL.US,D,20040405,000000,0.42024,0.43391,0.41963,0.43303,450404911,0
AAPL.US,D,20040406,000000,0.4241,0.43024,0.41927,0.42539,301296035,0
AAPL.US,D,20040407,000000,0.42228,0.42345,0.41157,0.41736,297935739,0
AAPL.US,D,20040408,000000,0.42671,0.42812,0.4159,0.42113,281350064,0
AAPL.US,D,20040412,000000,0.42056,0.42962,0.42024,0.42866,269232298,0
AAPL.US,D,20040413,000000,0.42812,0.42866,0.41041,0.41157,509639937,0
AAPL.US,D,20040414,000000,0.40893,0.41414,0.40219,0.40734,746694138,0
AAPL.US,D,20040415,000000,0.44344,0.45229,0.43056,0.44805,2056997377,0
AAPL.US,D,20040416,000000,0.44466,0.44805,0.43577,0.44615,470560382,0
AAPL.US,D,20040419,000000,0.42996,0.43977,0.42539,0.43363,831919346,0
AAPL.US,D,20040420,000000,0.43155,0.4345,0.42145,0.4241,414021875,0
AAPL.US,D,20040421,000000,0.42203,0.42996,0.41866,0.4241,380571377,0
AAPL.US,D,20040422,000000,0.42145,0.43091,0.41447,0.42478,402420247,0
AAPL.US,D,20040423,000000,0.42478,0.42812,0.41382,0.42345,368838760,0
AAPL.US,D,20040426,000000,0.42175,0.4226,0.41286,0.41471,269923794,0
AAPL.US,D,20040427,000000,0.41647,0.41963,0.4083,0.4119,331507382,0
AAPL.US,D,20040428,000000,0.41005,0.41319,0.40281,0.40428,269968687,0
AAPL.US,D,20040429,000000,0.40428,0.41286,0.39719,0.40922,538128425,0
AAPL.US,D,20040430,000000,0.41128,0.41219,0.38961,0.3942,544801264,0
AAPL.US,D,20040503,000000,0.39749,0.40252,0.39361,0.39884,347586745,0
AAPL.US,D,20040504,000000,0.39846,0.40609,0.3899,0.39969,326975972,0
AAPL.US,D,20040505,000000,0.40054,0.40922,0.39694,0.40734,277359438,0
AAPL.US,D,20040506,000000,0.40397,0.40922,0.39604,0.40642,307794625,0
AAPL.US,D,20040507,000000,0.40642,0.42175,0.40609,0.40797,489339260,0
AAPL.US,D,20040510,000000,0.40157,0.40669,0.39662,0.40191,291936594,0
AAPL.US,D,20040511,000000,0.40364,0.4159,0.40364,0.41507,356394140,0
AAPL.US,D,20040512,000000,0.40951,0.41804,0.4012,0.41736,286612027,0
AAPL.US,D,20040513,000000,0.41471,0.4238,0.41128,0.4159,268431789,0
AAPL.US,D,20040514,000000,0.41447,0.41766,0.40428,0.41382,301068608,0
AAPL.US,D,20040517,000000,0.4083,0.41382,0.40301,0.40734,350870080,0
AAPL.US,D,20040518,000000,0.41219,0.41707,0.40975,0.41382,240649263,0
AAPL.US,D,20040519,000000,0.41898,0.42056,0.40397,0.4046,438629360,0
AAPL.US,D,20040520,000000,0.40699,0.41286,0.4046,0.40863,229224929,0
AAPL.US,D,20040521,000000,0.41128,0.4159,0.40893,0.41447,210085684,0
AAPL.US,D,20040524,000000,0.41647,0.42671,0.41447,0.41804,275145539,0
AAPL.US,D,20040525,000000,0.42056,0.43606,0.41707,0.4345,373686251,0
AAPL.US,D,20040526,000000,0.43273,0.44009,0.42812,0.43606,376239330,0
AAPL.US,D,20040527,000000,0.43543,0.43735,0.42539,0.43091,275577528,0
AAPL.US,D,20040528,000000,0.42933,0.43223,0.42507,0.42901,170172139,0
AAPL.US,D,20040601,000000,0.42478,0.43123,0.42203,0.42901,212702193,0
AAPL.US,D,20040602,000000,0.42866,0.44615,0.42507,0.4422,372202950,0
AAPL.US,D,20040603,000000,0.43917,0.4431,0.43248,0.43421,293043063,0
AAPL.US,D,20040604,000000,0.4367,0.44708,0.43606,0.44009,466098145,0
AAPL.US,D,20040607,000000,0.44403,0.45844,0.44041,0.4556,345563129,0
AAPL.US,D,20040608,000000,0.45747,0.46545,0.45593,0.46415,485382742,0
AAPL.US,D,20040609,000000,0.46003,0.46969,0.45874,0.46175,407813887,0
AAPL.US,D,20040610,000000,0.46175,0.47341,0.46175,0.47002,300805833,0
AAPL.US,D,20040614,000000,0.46849,0.46908,0.45106,0.46057,284936614,0
AAPL.US,D,20040615,000000,0.46264,0.47611,0.46264,0.46939,519260407,0
AAPL.US,D,20040616,000000,0.46821,0.5094,0.467,0.5005,1062327524,0
AAPL.US,D,20040617,000000,0.5005,0.5067,0.49262,0.5018,643854711,0
AAPL.US,D,20040618,000000,0.49819,0.5106,0.49575,0.503,474807345,0
AAPL.US,D,20040621,000000,0.5064,0.5122,0.4911,0.49419,455706909,0
AAPL.US,D,20040622,000000,0.49419,0.5061,0.49359,0.5045,421020754,0
AAPL.US,D,20040623,000000,0.5045,0.517,0.503,0.5151,456472259,0
AAPL.US,D,20040624,000000,0.5148,0.5151,0.5042,0.5073,294899083,0
AAPL.US,D,20040625,000000,0.5045,0.5151,0.5045,0.5151,377710043,0
